flux	loglam	ivar	and_mask	or_mask	wdisp	sky	model
406.97162	3.5876	0.010745399	0	0	0.9732565	4.0659184	434.86584
408.5082	3.5877	0.010854323	0	0	0.9731241	3.2896974	433.8689
392.19537	3.5878	0.011468638	0	0	0.9729918	2.6212785	424.88715
385.87003	3.5879	0.011760389	0	0	0.9728595	2.258371	422.96527
386.2815	3.588	0.011835672	0	0	0.972727	2.2413728	423.96298
378.16083	3.5881	0.0121841105	0	0	0.9725946	2.5467696	414.5943
366.0728	3.5882	0.012678	0	0	0.97246224	3.034438	397.77393
360.50064	3.5883	0.012997187	0	0	0.9723299	3.54621	392.462
359.27313	3.5884	0.01303293	0	0	0.9721975	3.6776402	381.428
350.81424	3.5885	0.013547473	0	0	0.97206515	3.452145	371.51285
347.12323	3.5886	0.0138715515	0	0	0.97193277	3.0439327	358.23856
336.31287	3.5887	0.014465009	0	0	0.97180045	2.6289656	337.52002
325.01706	3.5888	0.015421278	0	0	0.97166795	2.2855701	318.7065
306.6509	3.5889	0.016837483	0	0	0.9715358	2.0939248	296.05664
279.48117	3.589	0.01911973	0	0	0.97140354	2.041779	272.4268
257.7098	3.5891	0.02154005	0	0	0.97127116	2.129262	242.07602
239.4227	3.5892	0.024361184	0	0	0.97113866	2.3587666	211.9211
199.82196	3.5893	0.030283699	0	0	0.97100633	2.652692	185.57475
174.64207	3.5894	0.035918333	0	0	0.97087425	2.8023717	153.88828
156.62117	3.5895	0.041092243	0	0	0.97074175	2.7293305	131.15994
159.73044	3.5896	0.039810274	0	0	0.9706095	2.7152686	129.78354
179.65393	3.5897	0.034812886	0	0	0.97047716	2.7966697	150.98317
211.9493	3.5898	0.028557604	0	0	0.9703448	2.916572	183.81279
239.8208	3.5899	0.02411054	0	0	0.9702124	2.970938	215.58406
263.23663	3.59	0.021072902	0	0	0.9700799	2.9154513	243.18674
287.13638	3.5901	0.018754622	0	0	0.9699475	2.8157377	273.87857
298.84818	3.5902	0.017711863	0	0	0.96981525	2.7984161	297.09482
308.3981	3.5903	0.016945919	0	0	0.96968293	2.938938	316.62692
324.95255	3.5904	0.015774038	0	0	0.96955043	3.072112	337.3219
334.5225	3.5905	0.01518927	0	0	0.969418	3.1387513	355.98584
341.1485	3.5906	0.014738001	0	0	0.9692859	3.1982865	367.32367
341.22018	3.5907	0.014672252	0	0	0.9691535	3.2941985	387.18915
344.36722	3.5908	0.0144093465	0	0	0.969021	3.395967	394.33926
355.7791	3.5909	0.013706915	0	0	0.9688885	3.442335	399.7379
372.42172	3.591	0.01296972	0	0	0.9687564	3.501314	409.16373
385.02258	3.5911	0.012369036	0	0	0.96862406	3.6316	418.1838
382.79364	3.5912	0.012422372	0	0	0.96849173	3.8228605	424.18842
390.4224	3.5913	0.012066562	0	0	0.9683594	4.1024685	434.655
401.4838	3.5914	0.011590136	0	0	0.96822697	4.386649	443.93707
409.1558	3.5915	0.011391415	0	0	0.9680946	4.639998	444.45587
410.042	3.5916	0.011170579	0	0	0.9679623	5.166906	450.51266
424.71613	3.5917	0.010765974	0	0	0.96783	5.9911675	465.81903
428.20624	3.5918	0.010606894	0	0	0.9676977	6.659542	467.74835
419.14386	3.5919	0.010812529	0	0	0.9675652	6.9840693	472.89673
428.78314	3.592	0.010509893	0	0	0.9674329	7.3248634	466.62466
437.41934	3.5921	0.010232467	0	0	0.9673007	8.138188	465.59692
429.13547	3.5922	0.010481087	0	0	0.96716815	8.33303	468.78198
432.70627	3.5923	0.010379646	0	0	0.9670359	7.1386847	466.08826
450.5377	3.5924	0.009827557	0	0	0.96690375	6.631084	463.7552
444.00217	3.5925	0.009941496	0	0	0.96677125	7.148071	475.48965
455.42462	3.5926	0.009693198	0	0	0.9666389	7.361852	471.42264
451.38065	3.5927	0.009815855	0	0	0.96650654	6.974164	473.81265
434.53677	3.5928	0.0102235265	0	0	0.96637416	6.447366	481.65103
440.35962	3.5929	0.010118843	0	0	0.96624213	6.039762	481.69028
455.46387	3.593	0.00970699	0	0	0.9661097	5.6369066	478.4761
460.21774	3.5931	0.00951963	0	0	0.9659772	5.3118596	471.91782
453.9193	3.5932	0.009745008	0	0	0.965845	5.0715804	478.08414
460.1315	3.5933	0.00957934	0	0	0.96571267	4.511441	481.4863
457.4364	3.5934	0.009682128	0	0	0.9655803	3.891236	479.93155
454.71863	3.5935	0.009722753	0	0	0.9654479	3.5705962	481.6227
463.982	3.5936	0.009566801	0	0	0.9653157	3.6221426	485.64493
453.91043	3.5937	0.009818387	0	0	0.9651835	3.8291469	481.80527
440.4031	3.5938	0.010226996	0	0	0.9650512	3.901613	473.59946
450.7556	3.5939	0.010007154	0	0	0.96491873	3.793338	469.38107
433.0637	3.594	0.010578533	0	0	0.96478647	3.6398787	466.486
438.05176	3.5941	0.010453203	0	0	0.96465415	3.5025196	460.52856
421.00046	3.5942	0.01120521	0	0	0.96452177	3.2164714	453.0122
382.81064	3.5943	0.013073589	0	0	0.9643896	2.7987025	434.69147
332.45975	3.5944	0.015979134	0	0	0.9642573	2.4986506	411.8147
303.5252	3.5945	0.017728409	0	0	0.96412486	2.4934838	395.85614
331.14642	3.5946	0.015994871	0	0	0.96399266	2.8682225	399.92212
